id,tubeid,potid,gridid,species,pot,voidtype,datecolonized,worms,dead
T15_5C-53,15,T15_5C,53,CAMROT,T15_5C,soil,29,present,0
T15_5C-54,15,T15_5C,54,CAMROT,T15_5C,soil,29,present,0
T15_5C-55,15,T15_5C,55,CAMROT,T15_5C,soil,29,present,0
T15_5C-56,15,T15_5C,56,CAMROT,T15_5C,soil,29,present,0
T15_5C-57,15,T15_5C,57,CAMROT,T15_5C,soil,29,present,0
T15_5C-60,15,T15_5C,60,CAMROT,T15_5C,soil,29,present,0
T15_5C-63,15,T15_5C,63,CAMROT,T15_5C,soil,29,present,0
T15_5C-65,15,T15_5C,65,CAMROT,T15_5C,soil,29,present,0
T15_5C-66,15,T15_5C,66,CAMROT,T15_5C,soil,29,present,0
T15_5E-55,15,T15_5E,55,CAMROT,T15_5E,soil,29,present,0
T18_6A-84,18,T18_6A,84,CAMROT,T18_6A,soil,29,present,0
T18_6B-111,18,T18_6B,111,ACHMIL,T18_6B,soil,29,present,0
T18_6B-22,18,T18_6B,22,ACHMIL,T18_6B,soil,29,present,0
T18_6B-69,18,T18_6B,69,ACHMIL,T18_6B,soil,29,present,0
T18_6D-45,18,T18_6D,45,CAMROT,T18_6D,soil,29,present,0
T18_6D-48,18,T18_6D,48,CAMROT,T18_6D,soil,29,present,0
T18_6D-51,18,T18_6D,51,CAMROT,T18_6D,soil,29,present,0
T18_6D-54,18,T18_6D,54,CAMROT,T18_6D,soil,29,present,0
T18_6D-57,18,T18_6D,57,CAMROT,T18_6D,soil,29,present,0
T18_6D-60,18,T18_6D,60,CAMROT,T18_6D,soil,29,present,0
T18_6D-69,18,T18_6D,69,CAMROT,T18_6D,soil,29,present,0
T21_7C-39,21,T21_7C,39,ACHMIL,T21_7C,soil,29,present,0
T21_7C-42,21,T21_7C,42,ACHMIL,T21_7C,soil,29,present,0
T24_8B-26,24,T24_8B,26,ACHMIL,T24_8B,soil,29,present,0
T24_8B-5,24,T24_8B,5,ACHMIL,T24_8B,soil,29,present,0
T24_8B-77,24,T24_8B,77,ACHMIL,T24_8B,soil,29,present,0
T24_8B-78,24,T24_8B,78,ACHMIL,T24_8B,soil,29,present,0
T24_8C-17,24,T24_8C,17,CAMROT,T24_8C,soil,29,present,0
T24_8C-48,24,T24_8C,48,CAMROT,T24_8C,soil,29,present,0
T24_8C-51,24,T24_8C,51,CAMROT,T24_8C,soil,29,present,0
T24_8C-72,24,T24_8C,72,CAMROT,T24_8C,soil,29,present,0
T24_8D-10,24,T24_8D,10,ACHMIL,T24_8D,soil,29,present,0
T24_8D-42,24,T24_8D,42,ACHMIL,T24_8D,soil,29,present,0
T24_8D-52,24,T24_8D,52,ACHMIL,T24_8D,soil,29,present,0
T24_8D-7,24,T24_8D,7,ACHMIL,T24_8D,soil,29,present,0
T24_8D-74,24,T24_8D,74,ACHMIL,T24_8D,soil,29,present,0
T27_9C-19,27,T27_9C,19,ACHMIL,T27_9C,soil,29,present,0
T27_9C-20,27,T27_9C,20,ACHMIL,T27_9C,soil,29,present,0
T27_9C-22,27,T27_9C,22,ACHMIL,T27_9C,soil,29,present,0
T27_9E-66,27,T27_9E,66,CAMROT,T27_9E,soil,29,present,0
T27_9E-69,27,T27_9E,69,CAMROT,T27_9E,soil,29,present,0
T27_9E-70,27,T27_9E,70,CAMROT,T27_9E,soil,29,present,0
T27_9E-71,27,T27_9E,71,CAMROT,T27_9E,soil,29,present,0
T27_9E-72,27,T27_9E,72,CAMROT,T27_9E,soil,29,present,0
T27_9E-75,27,T27_9E,75,CAMROT,T27_9E,soil,29,present,0
T3_1A-102,3,T3_1A,102,ACHMIL,T3_1A,soil,29,present,0
T3_1A-105,3,T3_1A,105,ACHMIL,T3_1A,soil,29,present,0
T3_1A-106,3,T3_1A,106,ACHMIL,T3_1A,soil,29,present,0
T3_1A-73,3,T3_1A,73,ACHMIL,T3_1A,soil,29,present,0
T3_1A-76,3,T3_1A,76,ACHMIL,T3_1A,soil,29,present,0
T3_1A-95,3,T3_1A,95,ACHMIL,T3_1A,soil,29,present,0
T3_1A-96,3,T3_1A,96,ACHMIL,T3_1A,soil,29,present,0
T3_1A-98,3,T3_1A,98,ACHMIL,T3_1A,soil,29,present,0
T3_1D-15,3,T3_1D,15,ACHMIL,T3_1D,soil,29,present,0
T3_1D-18,3,T3_1D,18,ACHMIL,T3_1D,soil,29,present,0
T3_1D-4,3,T3_1D,4,ACHMIL,T3_1D,soil,29,present,0
T3_1D-40,3,T3_1D,40,ACHMIL,T3_1D,soil,29,present,0
T3_1D-62,3,T3_1D,62,ACHMIL,T3_1D,soil,29,present,0
T3_1D-7,3,T3_1D,7,ACHMIL,T3_1D,soil,29,present,0
T3_1D-79,3,T3_1D,79,ACHMIL,T3_1D,soil,29,present,0
T3_1D-96,3,T3_1D,96,ACHMIL,T3_1D,soil,29,present,0
T3_1E-104,3,T3_1E,104,ACHMIL,T3_1E,soil,29,present,0
T3_1E-107,3,T3_1E,107,ACHMIL,T3_1E,soil,29,present,0
T3_1E-47,3,T3_1E,47,ACHMIL,T3_1E,soil,29,present,0
T3_1E-48,3,T3_1E,48,ACHMIL,T3_1E,soil,29,present,0
T3_1E-49,3,T3_1E,49,ACHMIL,T3_1E,soil,29,present,0
T3_1E-50,3,T3_1E,50,ACHMIL,T3_1E,soil,29,present,0
T3_1E-51,3,T3_1E,51,ACHMIL,T3_1E,soil,29,present,0
T3_1E-52,3,T3_1E,52,ACHMIL,T3_1E,soil,29,present,0
T3_1E-55,3,T3_1E,55,ACHMIL,T3_1E,soil,29,present,0
T3_1E-56,3,T3_1E,56,ACHMIL,T3_1E,soil,29,present,0
T3_1E-57,3,T3_1E,57,ACHMIL,T3_1E,soil,29,present,0
T3_1E-80,3,T3_1E,80,ACHMIL,T3_1E,soil,29,present,0
T3_1E-81,3,T3_1E,81,ACHMIL,T3_1E,soil,29,present,0
T3_1E-82,3,T3_1E,82,ACHMIL,T3_1E,soil,29,present,0
T3_1E-83,3,T3_1E,83,ACHMIL,T3_1E,soil,29,present,0
T30_10A-32,30,T30_10A,32,CAMROT,T30_10A,soil,29,present,0
T30_10A-33,30,T30_10A,33,CAMROT,T30_10A,soil,29,present,0
T30_10B-27,30,T30_10B,27,ACHMIL,T30_10B,soil,29,present,0
T30_10B-30,30,T30_10B,30,ACHMIL,T30_10B,soil,29,present,0
T30_10B-45,30,T30_10B,45,ACHMIL,T30_10B,soil,29,present,0
T33_11E-19,33,T33_11E,19,ACHMIL,T33_11E,soil,29,present,0
T36_12B-1,36,T36_12B,1,ACHMIL,T36_12B,soil,29,present,0
T36_12B-4,36,T36_12B,4,ACHMIL,T36_12B,soil,29,present,0
T6_2B-107,6,T6_2B,107,ACHMIL,T6_2B,soil,29,present,0
T6_2D-103,6,T6_2D,103,CAMROT,T6_2D,soil,29,present,0
T6_2D-106,6,T6_2D,106,CAMROT,T6_2D,soil,29,present,0
T6_2D-32,6,T6_2D,32,CAMROT,T6_2D,soil,29,present,0
T6_2D-33,6,T6_2D,33,CAMROT,T6_2D,soil,29,present,0
T6_2D-43,6,T6_2D,43,CAMROT,T6_2D,soil,29,present,0
T6_2D-44,6,T6_2D,44,CAMROT,T6_2D,soil,29,present,0
T6_2D-45,6,T6_2D,45,CAMROT,T6_2D,soil,29,present,0
T6_2D-47,6,T6_2D,47,CAMROT,T6_2D,soil,29,present,0
T6_2D-48,6,T6_2D,48,CAMROT,T6_2D,soil,29,present,0
T6_2D-51,6,T6_2D,51,CAMROT,T6_2D,soil,29,present,0
T9_3A-100,9,T9_3A,100,ACHMIL,T9_3A,soil,29,present,0
T9_3A-103,9,T9_3A,103,ACHMIL,T9_3A,soil,29,present,0
T9_3A-104,9,T9_3A,104,ACHMIL,T9_3A,soil,29,present,0
T9_3A-41,9,T9_3A,41,ACHMIL,T9_3A,soil,29,present,0
T9_3A-44,9,T9_3A,44,ACHMIL,T9_3A,soil,29,present,0
T9_3A-60,9,T9_3A,60,ACHMIL,T9_3A,soil,29,present,0
T9_3A-63,9,T9_3A,63,ACHMIL,T9_3A,soil,29,present,0
T9_3A-90,9,T9_3A,90,ACHMIL,T9_3A,soil,29,present,0
T9_3A-91,9,T9_3A,91,ACHMIL,T9_3A,soil,29,present,0
T9_3B-49,9,T9_3B,49,CAMROT,T9_3B,soil,29,present,0
T9_3B-52,9,T9_3B,52,CAMROT,T9_3B,soil,29,present,0
T9_3B-55,9,T9_3B,55,CAMROT,T9_3B,soil,29,present,0
T9_3B-67,9,T9_3B,67,CAMROT,T9_3B,soil,29,present,0
T9_3B-70,9,T9_3B,70,CAMROT,T9_3B,soil,29,present,0
T9_3B-73,9,T9_3B,73,CAMROT,T9_3B,soil,29,present,0
T9_3B-76,9,T9_3B,76,CAMROT,T9_3B,soil,29,present,0
T9_3D-30,9,T9_3D,30,CAMROT,T9_3D,soil,29,present,0
T9_3D-37,9,T9_3D,37,CAMROT,T9_3D,soil,29,present,0
T9_3D-38,9,T9_3D,38,CAMROT,T9_3D,soil,29,present,0
T9_3D-43,9,T9_3D,43,CAMROT,T9_3D,soil,29,present,0
T9_3D-46,9,T9_3D,46,CAMROT,T9_3D,soil,29,present,0
T9_3D-49,9,T9_3D,49,CAMROT,T9_3D,soil,29,present,0
T9_3D-52,9,T9_3D,52,CAMROT,T9_3D,soil,29,present,0
T9_3D-55,9,T9_3D,55,CAMROT,T9_3D,soil,29,present,0
T9_3D-56,9,T9_3D,56,CAMROT,T9_3D,soil,29,present,0
T9_3D-59,9,T9_3D,59,CAMROT,T9_3D,soil,29,present,0
T9_3D-60,9,T9_3D,60,CAMROT,T9_3D,soil,29,present,0
T9_3D-62,9,T9_3D,62,CAMROT,T9_3D,soil,29,present,0
T12_4A-4,12,T12_4A,4,ACHMIL,T12_4A,crack,29,absent,0
T12_4A-5,12,T12_4A,5,ACHMIL,T12_4A,crack,29,absent,0
T12_4A-7,12,T12_4A,7,ACHMIL,T12_4A,crack,29,absent,0
T12_4A-8,12,T12_4A,8,ACHMIL,T12_4A,crack,29,absent,0
T12_4A-88,12,T12_4A,88,ACHMIL,T12_4A,crack,29,absent,0
T12_4A-89,12,T12_4A,89,ACHMIL,T12_4A,crack,29,absent,0
T12_4A-92,12,T12_4A,92,ACHMIL,T12_4A,crack,29,absent,0
T12_4C-75,12,T12_4C,75,CAMROT,T12_4C,crack,29,absent,0
T12_4E-110,12,T12_4E,110,CAMROT,T12_4E,crack,29,absent,0
T12_4E-18,12,T12_4E,18,CAMROT,T12_4E,crack,29,absent,0
T12_4E-36,12,T12_4E,36,CAMROT,T12_4E,crack,29,absent,0
T12_4E-37,12,T12_4E,37,CAMROT,T12_4E,crack,29,absent,0
T12_4E-40,12,T12_4E,40,CAMROT,T12_4E,crack,29,absent,0
T12_4E-42,12,T12_4E,42,CAMROT,T12_4E,crack,29,absent,0
T12_4E-43,12,T12_4E,43,CAMROT,T12_4E,crack,29,absent,0
T12_4E-49,12,T12_4E,49,CAMROT,T12_4E,crack,29,absent,0
T12_4E-51,12,T12_4E,51,CAMROT,T12_4E,crack,29,absent,0
T12_4E-76,12,T12_4E,76,CAMROT,T12_4E,crack,29,absent,0
T12_4E-82,12,T12_4E,82,CAMROT,T12_4E,crack,29,absent,0
T12_4E-85,12,T12_4E,85,CAMROT,T12_4E,crack,29,absent,0
T12_4E-91,12,T12_4E,91,CAMROT,T12_4E,crack,29,absent,0
T12_4E-94,12,T12_4E,94,CAMROT,T12_4E,crack,29,absent,0
T12_4E-97,12,T12_4E,97,CAMROT,T12_4E,crack,29,absent,0
T15_5D-46,15,T15_5D,46,CAMROT,T15_5D,crack,29,absent,0
T15_5D-47,15,T15_5D,47,CAMROT,T15_5D,crack,29,absent,0
T15_5D-48,15,T15_5D,48,CAMROT,T15_5D,crack,29,absent,0
T15_5D-50,15,T15_5D,50,CAMROT,T15_5D,crack,29,absent,0
T15_5D-51,15,T15_5D,51,CAMROT,T15_5D,crack,29,absent,0
T15_5D-52,15,T15_5D,52,CAMROT,T15_5D,crack,29,absent,0
T15_5D-54,15,T15_5D,54,CAMROT,T15_5D,crack,29,absent,0
T15_5D-56,15,T15_5D,56,CAMROT,T15_5D,crack,29,absent,0
T15_5D-57,15,T15_5D,57,CAMROT,T15_5D,crack,29,absent,0
T15_5D-60,15,T15_5D,60,CAMROT,T15_5D,crack,29,absent,0
T18_6C-76,18,T18_6C,76,ACHMIL,T18_6C,crack,29,absent,0
T18_6E-106,18,T18_6E,106,CAMROT,T18_6E,crack,29,absent,0
T21_7A-108,21,T21_7A,108,ACHMIL,T21_7A,crack,29,absent,0
T21_7A-111,21,T21_7A,111,ACHMIL,T21_7A,crack,29,absent,0
T21_7B-43,21,T21_7B,43,CAMROT,T21_7B,crack,29,absent,0
T21_7B-46,21,T21_7B,46,CAMROT,T21_7B,crack,29,absent,0
T21_7B-50,21,T21_7B,50,CAMROT,T21_7B,crack,29,absent,0
T21_7B-56,21,T21_7B,56,CAMROT,T21_7B,crack,29,absent,0
T21_7B-57,21,T21_7B,57,CAMROT,T21_7B,crack,29,absent,0
T21_7B-59,21,T21_7B,59,CAMROT,T21_7B,crack,29,absent,0
T21_7B-63,21,T21_7B,63,CAMROT,T21_7B,crack,29,absent,0
T21_7B-66,21,T21_7B,66,CAMROT,T21_7B,crack,29,absent,0
T21_7B-69,21,T21_7B,69,CAMROT,T21_7B,crack,29,absent,0
T21_7D-102,21,T21_7D,102,ACHMIL,T21_7D,crack,29,absent,0
T21_7D-104,21,T21_7D,104,ACHMIL,T21_7D,crack,29,absent,0
T21_7D-105,21,T21_7D,105,ACHMIL,T21_7D,crack,29,absent,0
T21_7D-110,21,T21_7D,110,ACHMIL,T21_7D,crack,29,absent,0
T21_7D-111,21,T21_7D,111,ACHMIL,T21_7D,crack,29,absent,0
T21_7E-45,21,T21_7E,45,CAMROT,T21_7E,crack,29,absent,0
T21_7E-48,21,T21_7E,48,CAMROT,T21_7E,crack,29,absent,0
T21_7E-51,21,T21_7E,51,CAMROT,T21_7E,crack,29,absent,0
T21_7E-53,21,T21_7E,53,CAMROT,T21_7E,crack,29,absent,0
T21_7E-54,21,T21_7E,54,CAMROT,T21_7E,crack,29,absent,0
T21_7E-59,21,T21_7E,59,CAMROT,T21_7E,crack,29,absent,0
T21_7E-60,21,T21_7E,60,CAMROT,T21_7E,crack,29,absent,0
T24_8A-38,24,T24_8A,38,ACHMIL,T24_8A,crack,29,absent,0
T24_8A-40,24,T24_8A,40,ACHMIL,T24_8A,crack,29,absent,0
T24_8A-44,24,T24_8A,44,ACHMIL,T24_8A,crack,29,absent,0
T24_8A-47,24,T24_8A,47,ACHMIL,T24_8A,crack,29,absent,0
T24_8A-49,24,T24_8A,49,ACHMIL,T24_8A,crack,29,absent,0
T24_8A-5,24,T24_8A,5,ACHMIL,T24_8A,crack,29,absent,0
T24_8A-50,24,T24_8A,50,ACHMIL,T24_8A,crack,29,absent,0
T24_8A-51,24,T24_8A,51,ACHMIL,T24_8A,crack,29,absent,0
T24_8A-63,24,T24_8A,63,ACHMIL,T24_8A,crack,29,absent,0
T24_8A-8,24,T24_8A,8,ACHMIL,T24_8A,crack,29,absent,0
T24_8A-84,24,T24_8A,84,ACHMIL,T24_8A,crack,29,absent,0
T24_8E-56,24,T24_8E,56,CAMROT,T24_8E,crack,29,absent,0
T24_8E-57,24,T24_8E,57,CAMROT,T24_8E,crack,29,absent,0
T24_8E-60,24,T24_8E,60,CAMROT,T24_8E,crack,29,absent,0
T24_8E-62,24,T24_8E,62,CAMROT,T24_8E,crack,29,absent,0
T24_8E-63,24,T24_8E,63,CAMROT,T24_8E,crack,29,absent,0
T27_9A-64,27,T27_9A,64,CAMROT,T27_9A,crack,29,absent,0
T3_1B-10,3,T3_1B,10,ACHMIL,T3_1B,crack,29,absent,0
T3_1B-11,3,T3_1B,11,ACHMIL,T3_1B,crack,29,absent,0
T3_1B-47,3,T3_1B,47,ACHMIL,T3_1B,crack,29,absent,0
T3_1B-49,3,T3_1B,49,ACHMIL,T3_1B,crack,29,absent,0
T3_1B-50,3,T3_1B,50,ACHMIL,T3_1B,crack,29,absent,0
T3_1B-53,3,T3_1B,53,ACHMIL,T3_1B,crack,29,absent,0
T3_1B-55,3,T3_1B,55,ACHMIL,T3_1B,crack,29,absent,0
T3_1B-58,3,T3_1B,58,ACHMIL,T3_1B,crack,29,absent,0
T3_1B-59,3,T3_1B,59,ACHMIL,T3_1B,crack,29,absent,0
T3_1B-7,3,T3_1B,7,ACHMIL,T3_1B,crack,29,absent,0
T36_12D-37,36,T36_12D,37,CAMROT,T36_12D,crack,29,absent,0
T36_12D-38,36,T36_12D,38,CAMROT,T36_12D,crack,29,absent,0
T6_2A-11,6,T6_2A,11,ACHMIL,T6_2A,crack,29,absent,0
T6_2A-12,6,T6_2A,12,ACHMIL,T6_2A,crack,29,absent,0
T6_2A-2,6,T6_2A,2,ACHMIL,T6_2A,crack,29,absent,0
T6_2A-20,6,T6_2A,20,ACHMIL,T6_2A,crack,29,absent,0
T6_2A-23,6,T6_2A,23,ACHMIL,T6_2A,crack,29,absent,0
T6_2A-5,6,T6_2A,5,ACHMIL,T6_2A,crack,29,absent,0
T6_2A-60,6,T6_2A,60,ACHMIL,T6_2A,crack,29,absent,0
T6_2C-10,6,T6_2C,10,CAMROT,T6_2C,crack,29,absent,0
T6_2C-40,6,T6_2C,40,CAMROT,T6_2C,crack,29,absent,0
T6_2C-41,6,T6_2C,41,CAMROT,T6_2C,crack,29,absent,0
T6_2C-46,6,T6_2C,46,CAMROT,T6_2C,crack,29,absent,0
T6_2C-47,6,T6_2C,47,CAMROT,T6_2C,crack,29,absent,0
T6_2C-58,6,T6_2C,58,CAMROT,T6_2C,crack,29,absent,0
T6_2C-59,6,T6_2C,59,CAMROT,T6_2C,crack,29,absent,0
T6_2C-79,6,T6_2C,79,CAMROT,T6_2C,crack,29,absent,0
T9_3E-34,9,T9_3E,34,CAMROT,T9_3E,crack,29,absent,0
T9_3E-35,9,T9_3E,35,CAMROT,T9_3E,crack,29,absent,0
T9_3E-58,9,T9_3E,58,CAMROT,T9_3E,crack,29,absent,0
T9_3E-59,9,T9_3E,59,CAMROT,T9_3E,crack,29,absent,0
